Date,Cast,Station,Time,Depth,Comments
1/10/2023,1,837,800,18,Rio Vista bridge closed; did not sample 2 stations above bridge
1/10/2023,2,853,838,47,
1/10/2023,3,863,933,18,
1/10/2023,4,864,1015,41,
1/10/2023,5,865,1103,16,
1/11/2023,6,736,800,38,
1/11/2023,7,750,848,28,
1/11/2023,8,751,929,30,
1/11/2023,9,752,1002,13,
1/11/2023,10,760,1115,17,
1/12/2023,11,535,743,50,
1/12/2023,12,433,834,40,
1/12/2023,13,534,904,14,
1/12/2023,14,431,958,13,
1/12/2023,15,430,1032,15,
1/12/2023,16,429,1106,32,
1/12/2023,17,428,1141,37,
1/12/2023,18,432,1219,41,
1/12/2023,19,427,1251,36,
1/12/2023,20,447,1340,10,
1/13/2023,21,320,733,15,
1/13/2023,22,346,811,,delete; no good
1/13/2023,23,346,823,43,
1/13/2023,24,319,848,11,
1/13/2023,25,318,926,16,
1/13/2023,26,325,1009,46,
1/13/2023,27,321,1040,12,
1/13/2023,28,322,1141,12,
1/13/2023,29,323,1242,16,
1/13/2023,30,345,1328,51,
1/13/2023,31,317,1416,16,
1/17/2023,32,212,739,16,
1/17/2023,33,211,843,35,
1/17/2023,34,213,953,70,
1/17/2023,35,214,1019,46,
1/17/2023,36,243,1059,25,
1/17/2023,37,215,1138,51,
1/17/2023,38,216,,,forgot to write
1/17/2023,39,244,1351,16,
1/18/2023,40,110,732,65,
1/18/2023,41,142,811,19,
1/18/2023,42,105,904,15,
1/18/2023,43,104,936,15,
1/18/2023,44,108,1037,39,
1/18/2023,45,106,1116,11,
1/18/2023,46,109,1155,57,
1/19/2023,47,103,810,18,
1/19/2023,48,107,850,57,
1/19/2023,49,102,945,16,
1/19/2023,50,101,1031,41,salty? Clear
1/19/2023,51,101,1044,43,fresh? Turbid
1/19/2023,52,140,1111,57,
2/6/2023,1,837,755,16,
2/6/2023,2,853,821,39,
2/6/2023,3,863,920,10,
2/6/2023,4,864,1001,41,
2/6/2023,5,865,1040,16,
2/7/2023,6,736,810,38,
2/7/2023,7,750,905,33,
2/7/2023,8,751,944,31,
2/7/2023,9,752,1017,13,
2/7/2023,10,761,1118,35,
2/7/2023,11,762,1158,18,
2/7/2023,12,760,1250,20,
2/8/2023,13,535,803,43,
2/8/2023,14,433,844,41,
2/8/2023,15,534,912,8,
2/8/2023,16,431,1000,7,
2/8/2023,17,430,1032,11,
2/8/2023,18,429,1110,32,
2/8/2023,19,428,1142,39,
2/8/2023,20,432,1247,41,
2/8/2023,21,427,1317,30,
2/8/2023,22,447,1349,10,
2/13/2023,23,320,841,12,
2/13/2023,24,319,915,10,
2/13/2023,25,346,1017,39,
2/13/2023,26,318,1055,13,
2/13/2023,27,325,1132,42,
2/13/2023,28,321,1220,9,
2/13/2023,29,322,1302,9,
2/13/2023,30,323,1331,17,
2/13/2023,31,345,1410,47,
2/13/2023,32,317,1508,11,
2/14/2023,33,244,825,13,
2/14/2023,34,216,900,33,Estimated time
2/14/2023,35,215,1000,41,Re-did tow on 2/15
2/15/2023,36,212,805,15,
2/15/2023,37,215,902,59,
2/15/2023,38,243,1023,27,
2/15/2023,39,214,1138,56,Extra long soak time ~3:00
2/15/2023,40,213,1333,66,
2/15/2023,41,211,1406,21,
2/16/2023,42,110,721,65,
2/16/2023,43,142,805,18,
2/16/2023,44,105,858,14,
2/16/2023,45,104,933,13,
2/16/2023,46,108,1028,37,
2/16/2023,47,106,1107,15,
2/16/2023,48,109,1147,61,
2/23/2023,49,103,844,10.1,
2/23/2023,50,107,927,45,
2/23/2023,51,102,1014,9.2,
2/23/2023,52,101,1105,40,
2/23/2023,53,140,1148,48,
3/6/2023,1,837,656,15,
3/6/2023,2,853,725,42,
3/6/2023,3,863,822,12,
3/6/2023,4,864,905,40,
3/6/2023,5,865,950,15,
3/6/2023,6,752,1100,13,
3/6/2023,7,751,1131,34,
3/6/2023,8,760,1218,20,
3/6/2023,9,761,1330,36,
3/6/2023,10,762,1353,12,
3/6/2023,11,750,1448,36,
3/6/2023,12,736,1532,45,
3/7/2023,13,535,719,42,
3/7/2023,14,433,759,41,
3/7/2023,15,534,826,7,
3/7/2023,16,431,915,7,
3/7/2023,17,430,942,11,
3/7/2023,18,429,1016,26,
3/7/2023,19,428,1055,40,
3/7/2023,20,432,1149,42,
3/7/2023,21,427,1227,37,
3/7/2023,22,447,1309,,"Estimated time, forgot depth"
3/8/2023,23,320,750,7,
3/8/2023,24,346,818,39,
3/8/2023,25,319,855,9,
3/8/2023,26,318,933,13,
3/8/2023,27,325,1012,45,
3/8/2023,28,321,1105,12,
3/8/2023,29,322,1133,13,
3/8/2023,30,323,1210,17,
3/8/2023,31,345,1259,44,
3/8/2023,32,317,1337,22,
3/20/2023,33,212,743,15,
3/20/2023,34,211,837,26,
3/20/2023,35,213,911,72,
3/20/2023,36,214,1004,49,
3/20/2023,37,215,1059,48,
3/20/2023,38,244,1211,46,~4 min soak time
3/20/2023,39,216,1257,40,
3/20/2023,40,243,1338,27,
3/21/2023,41,110,731,59,
3/21/2023,42,142,829,13,
3/21/2023,43,105,909,13,
3/21/2023,44,104,946,14,
3/21/2023,45,108,1028,39,
3/21/2023,46,106,1120,13,
3/22/2023,47,103,836,13,
3/22/2023,48,107,909,47,
3/22/2023,49,102,1000,11,
3/22/2023,50,101,1051,41,
3/22/2023,51,140,1220,57,
3/22/2023,52,109,1455,66,
